Cell ID,Cell birth time,Cell age,stat0,Long axis (L) birth,Long axis (L) death,Short axis birth,Short axis death,Area birth,Area death,Fluor1 sum,Fluor1 mean,Mother ID,Daughter1 ID,Daughter2 ID,L death / L birth,Fluor1 sum death,Fluor1 mean death,Long axis/Short axis birth,Long axis/Short axis death,Growth Rate,Volume birth,Volume division,Vd-Vb,fov,Time Division
5303.0,156.0,120.0,2.0,18.0,58.0,8.557151538903797,8.22060768888186,156.0,477.0,207491.0,1330.070512820513,5232.0,5414.0,5415.0,3.2222222222222223,945091.0,1981.32285115304,2.1035037089346518,7.055439475410482,0.029251781316256366,1.0582441516275507,3.5628724425483638,2.504628290920813,xy3,276.0
5308.0,159.0,42.0,2.0,17.0,31.0,8.032097918842824,8.468065421663656,146.0,264.0,217237.0,1487.9246575342465,5251.0,5349.0,5350.0,1.8235294117647058,389592.0,1475.7272727272727,2.1165080619994696,3.6608125299426026,0.04291241860206644,0.881584657010402,1.9277517335637762,1.0461670765533742,xy3,201.0
5318.0,168.0,366.0,2.0,14.0,44.0,7.990296265607851,8.75026115345031,112.0,386.0,101629.0,907.4017857142857,5137.0,5752.0,5753.0,3.142857142857143,595890.0,1543.7564766839378,1.7521252697799645,5.028421349761702,0.009386330363139366,0.6905426364474279,3.0011653406697403,2.3106227042223124,xy3,534.0
5319.0,168.0,279.0,2.0,15.0,41.0,8.244182530066754,7.796749261746411,128.0,339.0,111722.0,872.828125,5137.0,5665.0,5666.0,2.7333333333333334,459949.0,1356.7817109144544,1.8194648099183395,5.2586018382251165,0.0108120630709903,0.7944803650970793,2.2271719819590756,1.4326916168619963,xy3,447.0
5336.0,189.0,609.0,2.0,16.0,50.0,7.937989618924826,8.656968885263632,127.0,433.0,102129.0,804.1653543307086,5156.0,6090.0,6091.0,3.125,509615.0,1176.9399538106236,2.0156236992115324,5.775693624718087,0.005612976764474704,0.8028153677524053,3.3687439196255116,2.5659285518731063,xy3,798.0
5342.0,198.0,66.0,2.0,15.0,32.0,8.808907193899953,7.76545698178922,135.0,261.0,238803.0,1768.911111111111,5267.0,5399.0,5400.0,2.1333333333333333,402849.0,1543.4827586206898,1.7028218903687955,4.120813504606777,0.03444025916806893,0.8931155500816563,1.6921332605715604,0.7990177104899041,xy3,264.0
5343.0,198.0,75.0,2.0,18.0,34.0,8.867434251318718,9.075201602735458,161.0,309.0,262559.0,1630.8012422360248,5267.0,5410.0,5411.0,1.8888888888888888,489461.0,1584.0161812297736,2.0298994601874982,3.746473245261205,0.025439550668799882,1.128620313002775,2.4339187454208093,1.3052984324180343,xy3,273.0
5349.0,204.0,66.0,2.0,16.0,31.0,7.615323567899045,8.4037557754268,128.0,262.0,185813.0,1451.6640625,5308.0,5405.0,5406.0,1.9375,346523.0,1322.6068702290077,2.101026943549053,3.688826856516497,0.030063567374789324,0.7448266616710876,1.900027176034177,1.1552005143630892,xy3,270.0
5350.0,204.0,81.0,2.0,16.0,30.0,8.92623424041205,8.694170561716378,145.0,261.0,199863.0,1378.3655172413794,5308.0,5428.0,5429.0,1.875,341081.0,1306.823754789272,1.7924692058340397,3.4505879298136852,0.023281802200828677,0.9901106049654615,1.954518931332665,0.9644083263672034,xy3,285.0
5361.0,210.0,60.0,2.0,19.0,35.0,8.54676895584139,8.042480061663147,164.0,297.0,212224.0,1294.0487804878048,5290.0,5403.0,5404.0,1.8421052631578947,482871.0,1625.828282828283,2.2230623172531447,4.351891422999955,0.030545454116148663,1.1256115878877009,1.9944509907256465,0.8688394028379456,xy3,270.0
